Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio	cluster_original
36	1	1	0	4	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193302.wav	CANTERA1Tapy	cluster_9
37	1	1	2	6	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193302.wav	CANTERA1Tapy	cluster_9
38	1	1	4	8	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193402.wav	CANTERA1Tapy	cluster_9
39	1	1	10	14	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193402.wav	CANTERA1Tapy	cluster_9
40	1	1	12	16	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193402.wav	CANTERA1Tapy	cluster_9
41	1	1	4	8	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193502.wav	CANTERA1Tapy	cluster_9
42	1	1	6	10	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193502.wav	CANTERA1Tapy	cluster_9
43	1	1	8	12	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193502.wav	CANTERA1Tapy	cluster_9
44	1	1	10	14	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193502.wav	CANTERA1Tapy	cluster_9
45	1	1	12	16	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193502.wav	CANTERA1Tapy	cluster_9
46	1	1	40	44	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193602.wav	CANTERA1Tapy	cluster_9
47	1	1	48	52	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193602.wav	CANTERA1Tapy	cluster_9
48	1	1	50	54	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193602.wav	CANTERA1Tapy	cluster_9
49	1	1	12	16	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193802.wav	CANTERA1Tapy	cluster_9
50	1	1	14	18	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193802.wav	CANTERA1Tapy	cluster_9
51	1	1	16	20	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193802.wav	CANTERA1Tapy	cluster_9
52	1	1	22	26	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193802.wav	CANTERA1Tapy	cluster_9
53	1	1	8	12	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193902.wav	CANTERA1Tapy	cluster_9
54	1	1	10	14	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193902.wav	CANTERA1Tapy	cluster_9
55	1	1	12	16	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193902.wav	CANTERA1Tapy	cluster_9
