Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1	1	1	26	30	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250430_043102.wav	BO-82Tapyta/BO-82TAPYTA_20250430_043102.wav	BO-Tapyta
2	1	1	32	36	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250429_050902.wav	BO-82Tapyta/BO-82TAPYTA_20250429_050902.wav	BO-Tapyta
3	1	1	26	30	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250501_042102.wav	BO-82Tapyta/BO-82TAPYTA_20250501_042102.wav	BO-Tapyta
4	1	1	16	20	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250429_034902.wav	BO-82Tapyta/BO-82TAPYTA_20250429_034902.wav	BO-Tapyta
5	1	1	2	6	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250429_001502.wav	BO-82Tapyta/BO-82TAPYTA_20250429_001502.wav	BO-Tapyta
6	1	1	36	40	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250430_025702.wav	BO-82Tapyta/BO-82TAPYTA_20250430_025702.wav	BO-Tapyta
7	1	1	46	50	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250501_010302.wav	BO-82Tapyta/BO-82TAPYTA_20250501_010302.wav	BO-Tapyta
8	1	1	32	36	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250501_051302.wav	BO-82Tapyta/BO-82TAPYTA_20250501_051302.wav	BO-Tapyta
9	1	1	18	22	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250429_023202.wav	BO-82Tapyta/BO-82TAPYTA_20250429_023202.wav	BO-Tapyta
10	1	1	0	4	0.0	8000.0	cluster_9 | BO-81Tapyta/BO-81TAPYTA_20250411_035302.wav	BO-81Tapyta/BO-81TAPYTA_20250411_035302.wav	BO-Tapyta
11	1	1	48	52	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250430_023902.wav	BO-82Tapyta/BO-82TAPYTA_20250430_023902.wav	BO-Tapyta
12	1	1	0	4	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250501_053802.wav	BO-82Tapyta/BO-82TAPYTA_20250501_053802.wav	BO-Tapyta
13	1	1	30	34	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250430_041002.wav	BO-82Tapyta/BO-82TAPYTA_20250430_041002.wav	BO-Tapyta
14	1	1	26	30	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250411_033102.wav	BO-82Tapyta/BO-82TAPYTA_20250411_033102.wav	BO-Tapyta
15	1	1	38	42	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250429_035802.wav	BO-82Tapyta/BO-82TAPYTA_20250429_035802.wav	BO-Tapyta
16	1	1	46	50	0.0	8000.0	cluster_9 | BO-81Tapyta/BO-81TAPYTA_20250411_032202.wav	BO-81Tapyta/BO-81TAPYTA_20250411_032202.wav	BO-Tapyta
17	1	1	36	40	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250430_020302.wav	BO-82Tapyta/BO-82TAPYTA_20250430_020302.wav	BO-Tapyta
18	1	1	34	38	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250428_210402.wav	BO-82Tapyta/BO-82TAPYTA_20250428_210402.wav	BO-Tapyta
19	1	1	14	18	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250430_040502.wav	BO-82Tapyta/BO-82TAPYTA_20250430_040502.wav	BO-Tapyta
20	1	1	20	24	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250429_235702.wav	BO-82Tapyta/BO-82TAPYTA_20250429_235702.wav	BO-Tapyta
21	1	1	44	48	0.0	8000.0	cluster_9 | BO-82Tapyta/BO-82TAPYTA_20250429_013402.wav	BO-82Tapyta/BO-82TAPYTA_20250429_013402.wav	BO-Tapyta
