Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1	1	1	24	28	0.0	8000.0	cluster_2 | CANTERA1Tapy/CANTERA1TAPY_20250604_232602.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_232602.wav	CANTERA1Tapy
2	1	1	26	30	0.0	8000.0	cluster_2 | CANTERA1Tapy/CANTERA1TAPY_20250604_232602.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_232602.wav	CANTERA1Tapy
3	1	1	28	32	0.0	8000.0	cluster_2 | CANTERA1Tapy/CANTERA1TAPY_20250604_232602.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_232602.wav	CANTERA1Tapy
4	1	1	30	34	0.0	8000.0	cluster_2 | CANTERA1Tapy/CANTERA1TAPY_20250604_232602.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_232602.wav	CANTERA1Tapy
5	1	1	42	46	0.0	8000.0	cluster_2 | CANTERA1Tapy/CANTERA1TAPY_20250604_232602.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_232602.wav	CANTERA1Tapy
6	1	1	44	48	0.0	8000.0	cluster_2 | CANTERA1Tapy/CANTERA1TAPY_20250604_232602.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_232602.wav	CANTERA1Tapy
7	1	1	14	18	0.0	8000.0	cluster_2 | CANTERA1Tapy/CANTERA1TAPY_20250604_232702.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_232702.wav	CANTERA1Tapy
8	1	1	16	20	0.0	8000.0	cluster_2 | CANTERA1Tapy/CANTERA1TAPY_20250604_232702.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_232702.wav	CANTERA1Tapy
9	1	1	18	22	0.0	8000.0	cluster_2 | CANTERA1Tapy/CANTERA1TAPY_20250604_232702.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_232702.wav	CANTERA1Tapy
10	1	1	34	38	0.0	8000.0	cluster_2 | CANTERA1Tapy/CANTERA1TAPY_20250604_232702.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_232702.wav	CANTERA1Tapy
