Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio	cluster_original
1	1	1	2	6	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_043802.wav	CANTERA1Tapy	cluster_24
2	1	1	36	40	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184102.wav	CANTERA1Tapy	cluster_24
3	1	1	36	40	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184202.wav	CANTERA1Tapy	cluster_24
4	1	1	40	44	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184202.wav	CANTERA1Tapy	cluster_24
5	1	1	44	48	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184202.wav	CANTERA1Tapy	cluster_24
6	1	1	50	54	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184202.wav	CANTERA1Tapy	cluster_24
7	1	1	52	56	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184202.wav	CANTERA1Tapy	cluster_24
8	1	1	20	24	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184302.wav	CANTERA1Tapy	cluster_24
9	1	1	44	48	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184302.wav	CANTERA1Tapy	cluster_24
10	1	1	24	28	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184502.wav	CANTERA1Tapy	cluster_24
11	1	1	28	32	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184502.wav	CANTERA1Tapy	cluster_24
12	1	1	30	34	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184502.wav	CANTERA1Tapy	cluster_24
13	1	1	32	36	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184502.wav	CANTERA1Tapy	cluster_24
14	1	1	34	38	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184502.wav	CANTERA1Tapy	cluster_24
15	1	1	36	40	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184502.wav	CANTERA1Tapy	cluster_24
16	1	1	38	42	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184502.wav	CANTERA1Tapy	cluster_24
17	1	1	42	46	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184502.wav	CANTERA1Tapy	cluster_24
18	1	1	22	26	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184602.wav	CANTERA1Tapy	cluster_24
19	1	1	28	32	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184602.wav	CANTERA1Tapy	cluster_24
20	1	1	30	34	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184602.wav	CANTERA1Tapy	cluster_24
21	1	1	32	36	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184602.wav	CANTERA1Tapy	cluster_24
22	1	1	34	38	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184602.wav	CANTERA1Tapy	cluster_24
23	1	1	36	40	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184602.wav	CANTERA1Tapy	cluster_24
24	1	1	40	44	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184602.wav	CANTERA1Tapy	cluster_24
25	1	1	46	50	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184602.wav	CANTERA1Tapy	cluster_24
26	1	1	48	52	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184602.wav	CANTERA1Tapy	cluster_24
27	1	1	52	56	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184602.wav	CANTERA1Tapy	cluster_24
28	1	1	24	28	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184802.wav	CANTERA1Tapy	cluster_24
29	1	1	28	32	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184802.wav	CANTERA1Tapy	cluster_24
30	1	1	32	36	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184802.wav	CANTERA1Tapy	cluster_24
31	1	1	36	40	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184802.wav	CANTERA1Tapy	cluster_24
32	1	1	38	42	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184802.wav	CANTERA1Tapy	cluster_24
33	1	1	40	44	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184802.wav	CANTERA1Tapy	cluster_24
34	1	1	46	50	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184802.wav	CANTERA1Tapy	cluster_24
35	1	1	48	52	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184802.wav	CANTERA1Tapy	cluster_24
36	1	1	0	4	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184902.wav	CANTERA1Tapy	cluster_24
37	1	1	4	8	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184902.wav	CANTERA1Tapy	cluster_24
38	1	1	10	14	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184902.wav	CANTERA1Tapy	cluster_24
39	1	1	16	20	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184902.wav	CANTERA1Tapy	cluster_24
40	1	1	22	26	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184902.wav	CANTERA1Tapy	cluster_24
41	1	1	34	38	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184902.wav	CANTERA1Tapy	cluster_24
42	1	1	38	42	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184902.wav	CANTERA1Tapy	cluster_24
43	1	1	40	44	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184902.wav	CANTERA1Tapy	cluster_24
44	1	1	42	46	0.0	8000.0	Dendropsophus minutus | cluster_24	CANTERA1Tapy/CANTERA1TAPY_20250606_184902.wav	CANTERA1Tapy	cluster_24
