Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1413	1	1	24	28	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250412_214002.wav	BO-81Tapyta/BO-81TAPYTA_20250412_214002.wav	BO-Tapyta
1414	1	1	52	56	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_035902.wav	BO-82Tapyta/BO-82TAPYTA_20250413_035902.wav	BO-Tapyta
1415	1	1	0	4	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_042802.wav	BO-82Tapyta/BO-82TAPYTA_20250413_042802.wav	BO-Tapyta
1416	1	1	10	14	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_043502.wav	BO-82Tapyta/BO-82TAPYTA_20250413_043502.wav	BO-Tapyta
1417	1	1	38	42	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_032202.wav	BO-82Tapyta/BO-82TAPYTA_20250413_032202.wav	BO-Tapyta
1418	1	1	2	6	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_044602.wav	BO-81Tapyta/BO-81TAPYTA_20250413_044602.wav	BO-Tapyta
1419	1	1	46	50	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_011902.wav	BO-81Tapyta/BO-81TAPYTA_20250413_011902.wav	BO-Tapyta
1420	1	1	8	12	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_042802.wav	BO-82Tapyta/BO-82TAPYTA_20250413_042802.wav	BO-Tapyta
1421	1	1	16	20	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_055302.wav	BO-82Tapyta/BO-82TAPYTA_20250413_055302.wav	BO-Tapyta
1422	1	1	46	50	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_015802.wav	BO-81Tapyta/BO-81TAPYTA_20250413_015802.wav	BO-Tapyta
1423	1	1	4	8	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_043402.wav	BO-82Tapyta/BO-82TAPYTA_20250413_043402.wav	BO-Tapyta
1424	1	1	0	4	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_052002.wav	BO-81Tapyta/BO-81TAPYTA_20250413_052002.wav	BO-Tapyta
1425	1	1	10	14	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_034302.wav	BO-81Tapyta/BO-81TAPYTA_20250413_034302.wav	BO-Tapyta
1426	1	1	22	26	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_025102.wav	BO-82Tapyta/BO-82TAPYTA_20250413_025102.wav	BO-Tapyta
1427	1	1	8	12	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_001602.wav	BO-81Tapyta/BO-81TAPYTA_20250413_001602.wav	BO-Tapyta
1428	1	1	20	24	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_035002.wav	BO-81Tapyta/BO-81TAPYTA_20250413_035002.wav	BO-Tapyta
1429	1	1	46	50	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_043302.wav	BO-82Tapyta/BO-82TAPYTA_20250413_043302.wav	BO-Tapyta
1430	1	1	38	42	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_050502.wav	BO-82Tapyta/BO-82TAPYTA_20250413_050502.wav	BO-Tapyta
1431	1	1	4	8	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_030502.wav	BO-81Tapyta/BO-81TAPYTA_20250413_030502.wav	BO-Tapyta
1432	1	1	4	8	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_033102.wav	BO-81Tapyta/BO-81TAPYTA_20250413_033102.wav	BO-Tapyta
1433	1	1	2	6	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_053202.wav	BO-81Tapyta/BO-81TAPYTA_20250413_053202.wav	BO-Tapyta
1434	1	1	42	46	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_045802.wav	BO-82Tapyta/BO-82TAPYTA_20250413_045802.wav	BO-Tapyta
1435	1	1	38	42	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_031202.wav	BO-82Tapyta/BO-82TAPYTA_20250413_031202.wav	BO-Tapyta
1436	1	1	14	18	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_035302.wav	BO-82Tapyta/BO-82TAPYTA_20250413_035302.wav	BO-Tapyta
1437	1	1	18	22	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_031202.wav	BO-81Tapyta/BO-81TAPYTA_20250413_031202.wav	BO-Tapyta
1438	1	1	48	52	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_035702.wav	BO-82Tapyta/BO-82TAPYTA_20250413_035702.wav	BO-Tapyta
1439	1	1	50	54	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_041302.wav	BO-82Tapyta/BO-82TAPYTA_20250413_041302.wav	BO-Tapyta
1440	1	1	26	30	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_053802.wav	BO-82Tapyta/BO-82TAPYTA_20250413_053802.wav	BO-Tapyta
1441	1	1	14	18	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_042702.wav	BO-81Tapyta/BO-81TAPYTA_20250413_042702.wav	BO-Tapyta
1442	1	1	40	44	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_054502.wav	BO-82Tapyta/BO-82TAPYTA_20250413_054502.wav	BO-Tapyta
1443	1	1	12	16	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_031302.wav	BO-81Tapyta/BO-81TAPYTA_20250413_031302.wav	BO-Tapyta
1444	1	1	32	36	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_040002.wav	BO-82Tapyta/BO-82TAPYTA_20250413_040002.wav	BO-Tapyta
1445	1	1	24	28	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_045502.wav	BO-81Tapyta/BO-81TAPYTA_20250413_045502.wav	BO-Tapyta
1446	1	1	40	44	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_045502.wav	BO-82Tapyta/BO-82TAPYTA_20250413_045502.wav	BO-Tapyta
1447	1	1	26	30	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250424_014102.wav	BO-82Tapyta/BO-82TAPYTA_20250424_014102.wav	BO-Tapyta
1448	1	1	30	34	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_041002.wav	BO-81Tapyta/BO-81TAPYTA_20250413_041002.wav	BO-Tapyta
1449	1	1	16	20	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_013702.wav	BO-82Tapyta/BO-82TAPYTA_20250413_013702.wav	BO-Tapyta
1450	1	1	40	44	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_031302.wav	BO-82Tapyta/BO-82TAPYTA_20250413_031302.wav	BO-Tapyta
1451	1	1	40	44	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_040202.wav	BO-81Tapyta/BO-81TAPYTA_20250413_040202.wav	BO-Tapyta
1452	1	1	16	20	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_043702.wav	BO-82Tapyta/BO-82TAPYTA_20250413_043702.wav	BO-Tapyta
1453	1	1	32	36	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_030702.wav	BO-82Tapyta/BO-82TAPYTA_20250413_030702.wav	BO-Tapyta
1454	1	1	4	8	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_051102.wav	BO-82Tapyta/BO-82TAPYTA_20250413_051102.wav	BO-Tapyta
1455	1	1	22	26	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_045002.wav	BO-81Tapyta/BO-81TAPYTA_20250413_045002.wav	BO-Tapyta
1456	1	1	8	12	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_025402.wav	BO-82Tapyta/BO-82TAPYTA_20250413_025402.wav	BO-Tapyta
1457	1	1	12	16	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_041702.wav	BO-81Tapyta/BO-81TAPYTA_20250413_041702.wav	BO-Tapyta
1458	1	1	52	56	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_054402.wav	BO-82Tapyta/BO-82TAPYTA_20250413_054402.wav	BO-Tapyta
1459	1	1	10	14	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_030302.wav	BO-82Tapyta/BO-82TAPYTA_20250413_030302.wav	BO-Tapyta
1460	1	1	4	8	0.0	8000.0	cluster_4 | BO-81Tapyta/BO-81TAPYTA_20250413_025102.wav	BO-81Tapyta/BO-81TAPYTA_20250413_025102.wav	BO-Tapyta
1461	1	1	40	44	0.0	8000.0	cluster_4 | BO-82Tapyta/BO-82TAPYTA_20250413_042402.wav	BO-82Tapyta/BO-82TAPYTA_20250413_042402.wav	BO-Tapyta
