Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1	1	1	10	14	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_200302.wav	BO-81Tapyta/BO-81TAPYTA_20250412_200302.wav	BO-Tapyta
2	1	1	38	42	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250423_202602.wav	BO-82Tapyta/BO-82TAPYTA_20250423_202602.wav	BO-Tapyta
3	1	1	8	12	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_003102.wav	BO-82Tapyta/BO-82TAPYTA_20250419_003102.wav	BO-Tapyta
4	1	1	26	30	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_234202.wav	BO-81Tapyta/BO-81TAPYTA_20250412_234202.wav	BO-Tapyta
5	1	1	4	8	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_010602.wav	BO-82Tapyta/BO-82TAPYTA_20250419_010602.wav	BO-Tapyta
6	1	1	10	14	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_232102.wav	BO-81Tapyta/BO-81TAPYTA_20250412_232102.wav	BO-Tapyta
7	1	1	24	28	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_031502.wav	BO-82Tapyta/BO-82TAPYTA_20250419_031502.wav	BO-Tapyta
8	1	1	28	32	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250412_213902.wav	BO-82Tapyta/BO-82TAPYTA_20250412_213902.wav	BO-Tapyta
9	1	1	34	38	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250412_220902.wav	BO-82Tapyta/BO-82TAPYTA_20250412_220902.wav	BO-Tapyta
10	1	1	18	22	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_193902.wav	BO-81Tapyta/BO-81TAPYTA_20250412_193902.wav	BO-Tapyta
11	1	1	48	52	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_213402.wav	BO-82Tapyta/BO-82TAPYTA_20250418_213402.wav	BO-Tapyta
12	1	1	24	28	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_053502.wav	BO-82Tapyta/BO-82TAPYTA_20250419_053502.wav	BO-Tapyta
13	1	1	12	16	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_050302.wav	BO-82Tapyta/BO-82TAPYTA_20250419_050302.wav	BO-Tapyta
14	1	1	48	52	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_202802.wav	BO-81Tapyta/BO-81TAPYTA_20250412_202802.wav	BO-Tapyta
15	1	1	26	30	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_234202.wav	BO-82Tapyta/BO-82TAPYTA_20250418_234202.wav	BO-Tapyta
16	1	1	2	6	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_210802.wav	BO-82Tapyta/BO-82TAPYTA_20250418_210802.wav	BO-Tapyta
17	1	1	24	28	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250412_234702.wav	BO-82Tapyta/BO-82TAPYTA_20250412_234702.wav	BO-Tapyta
18	1	1	2	6	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250412_203502.wav	BO-82Tapyta/BO-82TAPYTA_20250412_203502.wav	BO-Tapyta
19	1	1	24	28	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_043302.wav	BO-82Tapyta/BO-82TAPYTA_20250419_043302.wav	BO-Tapyta
20	1	1	42	46	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_202102.wav	BO-82Tapyta/BO-82TAPYTA_20250418_202102.wav	BO-Tapyta
21	1	1	52	56	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250423_212002.wav	BO-82Tapyta/BO-82TAPYTA_20250423_212002.wav	BO-Tapyta
22	1	1	52	56	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250423_202702.wav	BO-82Tapyta/BO-82TAPYTA_20250423_202702.wav	BO-Tapyta
23	1	1	32	36	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_235102.wav	BO-81Tapyta/BO-81TAPYTA_20250412_235102.wav	BO-Tapyta
24	1	1	40	44	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_204402.wav	BO-81Tapyta/BO-81TAPYTA_20250412_204402.wav	BO-Tapyta
25	1	1	22	26	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_031102.wav	BO-82Tapyta/BO-82TAPYTA_20250419_031102.wav	BO-Tapyta
26	1	1	8	12	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250423_205802.wav	BO-82Tapyta/BO-82TAPYTA_20250423_205802.wav	BO-Tapyta
27	1	1	4	8	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_235802.wav	BO-81Tapyta/BO-81TAPYTA_20250412_235802.wav	BO-Tapyta
28	1	1	10	14	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_035202.wav	BO-82Tapyta/BO-82TAPYTA_20250419_035202.wav	BO-Tapyta
29	1	1	42	46	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_203702.wav	BO-82Tapyta/BO-82TAPYTA_20250418_203702.wav	BO-Tapyta
30	1	1	42	46	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250424_020602.wav	BO-82Tapyta/BO-82TAPYTA_20250424_020602.wav	BO-Tapyta
31	1	1	8	12	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250413_004902.wav	BO-81Tapyta/BO-81TAPYTA_20250413_004902.wav	BO-Tapyta
32	1	1	30	34	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250412_202802.wav	BO-82Tapyta/BO-82TAPYTA_20250412_202802.wav	BO-Tapyta
33	1	1	22	26	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_201602.wav	BO-82Tapyta/BO-82TAPYTA_20250418_201602.wav	BO-Tapyta
34	1	1	18	22	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250502_205202.wav	BO-82Tapyta/BO-82TAPYTA_20250502_205202.wav	BO-Tapyta
35	1	1	22	26	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_202102.wav	BO-82Tapyta/BO-82TAPYTA_20250418_202102.wav	BO-Tapyta
36	1	1	16	20	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_012202.wav	BO-82Tapyta/BO-82TAPYTA_20250419_012202.wav	BO-Tapyta
37	1	1	32	36	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250413_000802.wav	BO-82Tapyta/BO-82TAPYTA_20250413_000802.wav	BO-Tapyta
38	1	1	28	32	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250412_225402.wav	BO-82Tapyta/BO-82TAPYTA_20250412_225402.wav	BO-Tapyta
39	1	1	40	44	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_001102.wav	BO-82Tapyta/BO-82TAPYTA_20250419_001102.wav	BO-Tapyta
40	1	1	42	46	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_195302.wav	BO-82Tapyta/BO-82TAPYTA_20250418_195302.wav	BO-Tapyta
41	1	1	24	28	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_003802.wav	BO-82Tapyta/BO-82TAPYTA_20250419_003802.wav	BO-Tapyta
42	1	1	44	48	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250412_221302.wav	BO-82Tapyta/BO-82TAPYTA_20250412_221302.wav	BO-Tapyta
43	1	1	42	46	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_222602.wav	BO-82Tapyta/BO-82TAPYTA_20250418_222602.wav	BO-Tapyta
44	1	1	26	30	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_042902.wav	BO-82Tapyta/BO-82TAPYTA_20250419_042902.wav	BO-Tapyta
45	1	1	40	44	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_033202.wav	BO-82Tapyta/BO-82TAPYTA_20250419_033202.wav	BO-Tapyta
46	1	1	50	54	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250423_232702.wav	BO-82Tapyta/BO-82TAPYTA_20250423_232702.wav	BO-Tapyta
47	1	1	36	40	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_235602.wav	BO-81Tapyta/BO-81TAPYTA_20250412_235602.wav	BO-Tapyta
48	1	1	2	6	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_212102.wav	BO-82Tapyta/BO-82TAPYTA_20250418_212102.wav	BO-Tapyta
49	1	1	32	36	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_202102.wav	BO-81Tapyta/BO-81TAPYTA_20250412_202102.wav	BO-Tapyta
50	1	1	26	30	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250412_201702.wav	BO-82Tapyta/BO-82TAPYTA_20250412_201702.wav	BO-Tapyta
51	1	1	18	22	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250413_012402.wav	BO-81Tapyta/BO-81TAPYTA_20250413_012402.wav	BO-Tapyta
52	1	1	34	38	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_205702.wav	BO-82Tapyta/BO-82TAPYTA_20250418_205702.wav	BO-Tapyta
53	1	1	24	28	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250412_192702.wav	BO-82Tapyta/BO-82TAPYTA_20250412_192702.wav	BO-Tapyta
54	1	1	12	16	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250412_204402.wav	BO-82Tapyta/BO-82TAPYTA_20250412_204402.wav	BO-Tapyta
55	1	1	30	34	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_030302.wav	BO-82Tapyta/BO-82TAPYTA_20250419_030302.wav	BO-Tapyta
56	1	1	50	54	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250412_202802.wav	BO-82Tapyta/BO-82TAPYTA_20250412_202802.wav	BO-Tapyta
57	1	1	36	40	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250413_005202.wav	BO-81Tapyta/BO-81TAPYTA_20250413_005202.wav	BO-Tapyta
58	1	1	28	32	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250413_004102.wav	BO-81Tapyta/BO-81TAPYTA_20250413_004102.wav	BO-Tapyta
59	1	1	16	20	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_013802.wav	BO-82Tapyta/BO-82TAPYTA_20250419_013802.wav	BO-Tapyta
60	1	1	22	26	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_235002.wav	BO-81Tapyta/BO-81TAPYTA_20250412_235002.wav	BO-Tapyta
61	1	1	22	26	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_053902.wav	BO-82Tapyta/BO-82TAPYTA_20250419_053902.wav	BO-Tapyta
62	1	1	0	4	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250413_031702.wav	BO-81Tapyta/BO-81TAPYTA_20250413_031702.wav	BO-Tapyta
63	1	1	2	6	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_204202.wav	BO-82Tapyta/BO-82TAPYTA_20250418_204202.wav	BO-Tapyta
64	1	1	10	14	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_021502.wav	BO-82Tapyta/BO-82TAPYTA_20250419_021502.wav	BO-Tapyta
65	1	1	50	54	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_045002.wav	BO-82Tapyta/BO-82TAPYTA_20250419_045002.wav	BO-Tapyta
66	1	1	32	36	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250413_015202.wav	BO-81Tapyta/BO-81TAPYTA_20250413_015202.wav	BO-Tapyta
67	1	1	26	30	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250413_010802.wav	BO-81Tapyta/BO-81TAPYTA_20250413_010802.wav	BO-Tapyta
68	1	1	30	34	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_054402.wav	BO-82Tapyta/BO-82TAPYTA_20250419_054402.wav	BO-Tapyta
69	1	1	10	14	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250412_204202.wav	BO-82Tapyta/BO-82TAPYTA_20250412_204202.wav	BO-Tapyta
70	1	1	44	48	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250412_225302.wav	BO-82Tapyta/BO-82TAPYTA_20250412_225302.wav	BO-Tapyta
71	1	1	52	56	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_042602.wav	BO-82Tapyta/BO-82TAPYTA_20250419_042602.wav	BO-Tapyta
72	1	1	18	22	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_225902.wav	BO-82Tapyta/BO-82TAPYTA_20250418_225902.wav	BO-Tapyta
73	1	1	16	20	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_234302.wav	BO-82Tapyta/BO-82TAPYTA_20250418_234302.wav	BO-Tapyta
74	1	1	14	18	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250412_211902.wav	BO-82Tapyta/BO-82TAPYTA_20250412_211902.wav	BO-Tapyta
75	1	1	4	8	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_235902.wav	BO-81Tapyta/BO-81TAPYTA_20250412_235902.wav	BO-Tapyta
76	1	1	48	52	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250413_010202.wav	BO-81Tapyta/BO-81TAPYTA_20250413_010202.wav	BO-Tapyta
77	1	1	4	8	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_054402.wav	BO-82Tapyta/BO-82TAPYTA_20250419_054402.wav	BO-Tapyta
78	1	1	40	44	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250413_005102.wav	BO-81Tapyta/BO-81TAPYTA_20250413_005102.wav	BO-Tapyta
79	1	1	20	24	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_210502.wav	BO-82Tapyta/BO-82TAPYTA_20250418_210502.wav	BO-Tapyta
80	1	1	18	22	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250423_220602.wav	BO-82Tapyta/BO-82TAPYTA_20250423_220602.wav	BO-Tapyta
81	1	1	40	44	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_200902.wav	BO-81Tapyta/BO-81TAPYTA_20250412_200902.wav	BO-Tapyta
82	1	1	34	38	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_234702.wav	BO-82Tapyta/BO-82TAPYTA_20250418_234702.wav	BO-Tapyta
83	1	1	10	14	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_045702.wav	BO-82Tapyta/BO-82TAPYTA_20250419_045702.wav	BO-Tapyta
84	1	1	46	50	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_011702.wav	BO-82Tapyta/BO-82TAPYTA_20250419_011702.wav	BO-Tapyta
85	1	1	20	24	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250423_234202.wav	BO-82Tapyta/BO-82TAPYTA_20250423_234202.wav	BO-Tapyta
86	1	1	34	38	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_014602.wav	BO-82Tapyta/BO-82TAPYTA_20250419_014602.wav	BO-Tapyta
87	1	1	36	40	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_011002.wav	BO-82Tapyta/BO-82TAPYTA_20250419_011002.wav	BO-Tapyta
88	1	1	10	14	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250423_214002.wav	BO-82Tapyta/BO-82TAPYTA_20250423_214002.wav	BO-Tapyta
89	1	1	20	24	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_001402.wav	BO-82Tapyta/BO-82TAPYTA_20250419_001402.wav	BO-Tapyta
90	1	1	46	50	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_220102.wav	BO-81Tapyta/BO-81TAPYTA_20250412_220102.wav	BO-Tapyta
91	1	1	42	46	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250417_045302.wav	BO-82Tapyta/BO-82TAPYTA_20250417_045302.wav	BO-Tapyta
92	1	1	46	50	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250419_011502.wav	BO-82Tapyta/BO-82TAPYTA_20250419_011502.wav	BO-Tapyta
93	1	1	30	34	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250415_205902.wav	BO-82Tapyta/BO-82TAPYTA_20250415_205902.wav	BO-Tapyta
94	1	1	4	8	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250413_000702.wav	BO-82Tapyta/BO-82TAPYTA_20250413_000702.wav	BO-Tapyta
95	1	1	24	28	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_232202.wav	BO-82Tapyta/BO-82TAPYTA_20250418_232202.wav	BO-Tapyta
96	1	1	8	12	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250423_214802.wav	BO-82Tapyta/BO-82TAPYTA_20250423_214802.wav	BO-Tapyta
97	1	1	16	20	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250418_223802.wav	BO-82Tapyta/BO-82TAPYTA_20250418_223802.wav	BO-Tapyta
98	1	1	50	54	0.0	8000.0	cluster_3 | BO-82Tapyta/BO-82TAPYTA_20250423_211502.wav	BO-82Tapyta/BO-82TAPYTA_20250423_211502.wav	BO-Tapyta
99	1	1	46	50	0.0	8000.0	cluster_3 | BO-81Tapyta/BO-81TAPYTA_20250412_225202.wav	BO-81Tapyta/BO-81TAPYTA_20250412_225202.wav	BO-Tapyta
