Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1	1	1	50	54	0.0	8000.0	cluster_0 | BO-82Tapyta/BO-82TAPYTA_20250427_225602.wav	BO-82Tapyta/BO-82TAPYTA_20250427_225602.wav	BO-Tapyta
2	1	1	42	46	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250411_230102.wav	BO-81Tapyta/BO-81TAPYTA_20250411_230102.wav	BO-Tapyta
3	1	1	10	14	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250416_050802.wav	BO-81Tapyta/BO-81TAPYTA_20250416_050802.wav	BO-Tapyta
4	1	1	16	20	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250412_053602.wav	BO-81Tapyta/BO-81TAPYTA_20250412_053602.wav	BO-Tapyta
5	1	1	26	30	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250411_232102.wav	BO-81Tapyta/BO-81TAPYTA_20250411_232102.wav	BO-Tapyta
6	1	1	18	22	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250414_214202.wav	BO-81Tapyta/BO-81TAPYTA_20250414_214202.wav	BO-Tapyta
7	1	1	34	38	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250414_223002.wav	BO-81Tapyta/BO-81TAPYTA_20250414_223002.wav	BO-Tapyta
8	1	1	42	46	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250412_032102.wav	BO-81Tapyta/BO-81TAPYTA_20250412_032102.wav	BO-Tapyta
9	1	1	38	42	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250416_052302.wav	BO-81Tapyta/BO-81TAPYTA_20250416_052302.wav	BO-Tapyta
10	1	1	6	10	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250414_211402.wav	BO-81Tapyta/BO-81TAPYTA_20250414_211402.wav	BO-Tapyta
11	1	1	6	10	0.0	8000.0	cluster_0 | BO-82Tapyta/BO-82TAPYTA_20250427_225002.wav	BO-82Tapyta/BO-82TAPYTA_20250427_225002.wav	BO-Tapyta
12	1	1	50	54	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250411_211102.wav	BO-81Tapyta/BO-81TAPYTA_20250411_211102.wav	BO-Tapyta
13	1	1	46	50	0.0	8000.0	cluster_0 | BO-82Tapyta/BO-82TAPYTA_20250427_045202.wav	BO-82Tapyta/BO-82TAPYTA_20250427_045202.wav	BO-Tapyta
14	1	1	38	42	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250414_220402.wav	BO-81Tapyta/BO-81TAPYTA_20250414_220402.wav	BO-Tapyta
15	1	1	6	10	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250411_204702.wav	BO-81Tapyta/BO-81TAPYTA_20250411_204702.wav	BO-Tapyta
16	1	1	50	54	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250411_211702.wav	BO-81Tapyta/BO-81TAPYTA_20250411_211702.wav	BO-Tapyta
17	1	1	14	18	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250412_045602.wav	BO-81Tapyta/BO-81TAPYTA_20250412_045602.wav	BO-Tapyta
18	1	1	34	38	0.0	8000.0	cluster_0 | BO-82Tapyta/BO-82TAPYTA_20250420_001102.wav	BO-82Tapyta/BO-82TAPYTA_20250420_001102.wav	BO-Tapyta
19	1	1	32	36	0.0	8000.0	cluster_0 | BO-82Tapyta/BO-82TAPYTA_20250501_191302.wav	BO-82Tapyta/BO-82TAPYTA_20250501_191302.wav	BO-Tapyta
20	1	1	32	36	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250416_051902.wav	BO-81Tapyta/BO-81TAPYTA_20250416_051902.wav	BO-Tapyta
21	1	1	22	26	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250416_054102.wav	BO-81Tapyta/BO-81TAPYTA_20250416_054102.wav	BO-Tapyta
22	1	1	26	30	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250411_202902.wav	BO-81Tapyta/BO-81TAPYTA_20250411_202902.wav	BO-Tapyta
23	1	1	28	32	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250411_213002.wav	BO-81Tapyta/BO-81TAPYTA_20250411_213002.wav	BO-Tapyta
24	1	1	2	6	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250411_233002.wav	BO-81Tapyta/BO-81TAPYTA_20250411_233002.wav	BO-Tapyta
25	1	1	38	42	0.0	8000.0	cluster_0 | BO-81Tapyta/BO-81TAPYTA_20250411_224202.wav	BO-81Tapyta/BO-81TAPYTA_20250411_224202.wav	BO-Tapyta
