Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1	1	1	10	14	0.0	8000.0	cluster_7 | BO-81Tapyta/BO-81TAPYTA_20250411_190002.wav	BO-81Tapyta/BO-81TAPYTA_20250411_190002.wav	BO-Tapyta
2	1	1	30	34	0.0	8000.0	cluster_7 | BO-81Tapyta/BO-81TAPYTA_20250415_184502.wav	BO-81Tapyta/BO-81TAPYTA_20250415_184502.wav	BO-Tapyta
3	1	1	10	14	0.0	8000.0	cluster_7 | BO-82Tapyta/BO-82TAPYTA_20250410_180902.wav	BO-82Tapyta/BO-82TAPYTA_20250410_180902.wav	BO-Tapyta
4	1	1	46	50	0.0	8000.0	cluster_7 | BO-81Tapyta/BO-81TAPYTA_20250411_191802.wav	BO-81Tapyta/BO-81TAPYTA_20250411_191802.wav	BO-Tapyta
5	1	1	52	56	0.0	8000.0	cluster_7 | BO-81Tapyta/BO-81TAPYTA_20250415_225102.wav	BO-81Tapyta/BO-81TAPYTA_20250415_225102.wav	BO-Tapyta
6	1	1	34	38	0.0	8000.0	cluster_7 | BO-81Tapyta/BO-81TAPYTA_20250415_230802.wav	BO-81Tapyta/BO-81TAPYTA_20250415_230802.wav	BO-Tapyta
7	1	1	8	12	0.0	8000.0	cluster_7 | BO-82Tapyta/BO-82TAPYTA_20250419_233502.wav	BO-82Tapyta/BO-82TAPYTA_20250419_233502.wav	BO-Tapyta
8	1	1	48	52	0.0	8000.0	cluster_7 | BO-81Tapyta/BO-81TAPYTA_20250411_233802.wav	BO-81Tapyta/BO-81TAPYTA_20250411_233802.wav	BO-Tapyta
9	1	1	32	36	0.0	8000.0	cluster_7 | BO-81Tapyta/BO-81TAPYTA_20250411_224002.wav	BO-81Tapyta/BO-81TAPYTA_20250411_224002.wav	BO-Tapyta
10	1	1	8	12	0.0	8000.0	cluster_7 | BO-82Tapyta/BO-82TAPYTA_20250419_215502.wav	BO-82Tapyta/BO-82TAPYTA_20250419_215502.wav	BO-Tapyta
11	1	1	6	10	0.0	8000.0	cluster_7 | BO-81Tapyta/BO-81TAPYTA_20250411_185002.wav	BO-81Tapyta/BO-81TAPYTA_20250411_185002.wav	BO-Tapyta
12	1	1	26	30	0.0	8000.0	cluster_7 | BO-81Tapyta/BO-81TAPYTA_20250411_190102.wav	BO-81Tapyta/BO-81TAPYTA_20250411_190102.wav	BO-Tapyta
13	1	1	48	52	0.0	8000.0	cluster_7 | BO-82Tapyta/BO-82TAPYTA_20250419_193102.wav	BO-82Tapyta/BO-82TAPYTA_20250419_193102.wav	BO-Tapyta
14	1	1	30	34	0.0	8000.0	cluster_7 | BO-82Tapyta/BO-82TAPYTA_20250419_212202.wav	BO-82Tapyta/BO-82TAPYTA_20250419_212202.wav	BO-Tapyta
15	1	1	10	14	0.0	8000.0	cluster_7 | BO-82Tapyta/BO-82TAPYTA_20250419_225202.wav	BO-82Tapyta/BO-82TAPYTA_20250419_225202.wav	BO-Tapyta
16	1	1	12	16	0.0	8000.0	cluster_7 | BO-82Tapyta/BO-82TAPYTA_20250419_214802.wav	BO-82Tapyta/BO-82TAPYTA_20250419_214802.wav	BO-Tapyta
17	1	1	48	52	0.0	8000.0	cluster_7 | BO-81Tapyta/BO-81TAPYTA_20250411_192802.wav	BO-81Tapyta/BO-81TAPYTA_20250411_192802.wav	BO-Tapyta
18	1	1	42	46	0.0	8000.0	cluster_7 | BO-81Tapyta/BO-81TAPYTA_20250411_192302.wav	BO-81Tapyta/BO-81TAPYTA_20250411_192302.wav	BO-Tapyta
19	1	1	44	48	0.0	8000.0	cluster_7 | BO-82Tapyta/BO-82TAPYTA_20250427_184902.wav	BO-82Tapyta/BO-82TAPYTA_20250427_184902.wav	BO-Tapyta
20	1	1	20	24	0.0	8000.0	cluster_7 | BO-82Tapyta/BO-82TAPYTA_20250427_185402.wav	BO-82Tapyta/BO-82TAPYTA_20250427_185402.wav	BO-Tapyta
21	1	1	30	34	0.0	8000.0	cluster_7 | BO-82Tapyta/BO-82TAPYTA_20250419_205402.wav	BO-82Tapyta/BO-82TAPYTA_20250419_205402.wav	BO-Tapyta
22	1	1	16	20	0.0	8000.0	cluster_7 | BO-82Tapyta/BO-82TAPYTA_20250427_190502.wav	BO-82Tapyta/BO-82TAPYTA_20250427_190502.wav	BO-Tapyta
23	1	1	34	38	0.0	8000.0	cluster_7 | BO-81Tapyta/BO-81TAPYTA_20250411_190302.wav	BO-81Tapyta/BO-81TAPYTA_20250411_190302.wav	BO-Tapyta
24	1	1	28	32	0.0	8000.0	cluster_7 | BO-81Tapyta/BO-81TAPYTA_20250411_190302.wav	BO-81Tapyta/BO-81TAPYTA_20250411_190302.wav	BO-Tapyta
