Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio	cluster_original
1	1	1	0	4	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
2	1	1	2	6	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
3	1	1	4	8	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
4	1	1	6	10	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
5	1	1	8	12	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
6	1	1	10	14	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
7	1	1	12	16	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
8	1	1	14	18	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
9	1	1	16	20	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
10	1	1	18	22	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
11	1	1	20	24	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
12	1	1	22	26	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
13	1	1	24	28	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
14	1	1	26	30	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
15	1	1	28	32	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
16	1	1	30	34	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
17	1	1	32	36	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
18	1	1	34	38	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
19	1	1	36	40	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
20	1	1	38	42	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
21	1	1	40	44	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
22	1	1	42	46	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
23	1	1	44	48	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
24	1	1	46	50	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
25	1	1	48	52	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
26	1	1	50	54	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
27	1	1	52	56	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180002.wav	CANTERA1Tapy	cluster_3
28	1	1	0	4	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
29	1	1	2	6	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
30	1	1	4	8	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
31	1	1	6	10	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
32	1	1	8	12	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
33	1	1	10	14	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
34	1	1	12	16	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
35	1	1	14	18	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
36	1	1	16	20	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
37	1	1	18	22	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
38	1	1	20	24	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
39	1	1	22	26	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
40	1	1	24	28	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
41	1	1	26	30	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
42	1	1	28	32	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
43	1	1	30	34	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
44	1	1	32	36	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
45	1	1	34	38	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
46	1	1	36	40	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
47	1	1	38	42	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
48	1	1	40	44	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
49	1	1	42	46	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
50	1	1	44	48	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
51	1	1	46	50	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
52	1	1	48	52	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
53	1	1	50	54	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
54	1	1	52	56	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180102.wav	CANTERA1Tapy	cluster_3
55	1	1	0	4	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
56	1	1	2	6	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
57	1	1	4	8	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
58	1	1	6	10	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
59	1	1	8	12	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
60	1	1	10	14	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
61	1	1	12	16	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
62	1	1	14	18	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
63	1	1	16	20	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
64	1	1	18	22	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
65	1	1	20	24	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
66	1	1	22	26	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
67	1	1	24	28	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
68	1	1	26	30	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
69	1	1	28	32	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
70	1	1	30	34	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
71	1	1	32	36	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
72	1	1	34	38	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
73	1	1	36	40	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
74	1	1	38	42	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
75	1	1	40	44	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
76	1	1	42	46	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
77	1	1	44	48	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
78	1	1	46	50	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
79	1	1	48	52	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
80	1	1	50	54	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
81	1	1	52	56	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180202.wav	CANTERA1Tapy	cluster_3
82	1	1	0	4	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
83	1	1	2	6	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
84	1	1	4	8	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
85	1	1	6	10	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
86	1	1	8	12	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
87	1	1	10	14	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
88	1	1	12	16	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
89	1	1	14	18	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
90	1	1	16	20	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
91	1	1	18	22	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
92	1	1	20	24	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
93	1	1	22	26	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
94	1	1	24	28	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
95	1	1	26	30	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
96	1	1	28	32	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
97	1	1	30	34	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
98	1	1	32	36	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
99	1	1	34	38	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
100	1	1	36	40	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
101	1	1	38	42	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
102	1	1	40	44	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
103	1	1	42	46	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
104	1	1	44	48	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
105	1	1	46	50	0.0	8000.0	Dendropsophus spp. | cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180302.wav	CANTERA1Tapy	cluster_3
