Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
49	1	1	10	14	0.0	8000.0	cluster_3	BO-81Tapyta/BO-81TAPYTA_20250412_232102.wav	BO-Tapyta
50	1	1	34	38	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250412_034902.wav	BO-Tapyta
51	1	1	18	22	0.0	8000.0	cluster_6	BO-82Tapyta/BO-82TAPYTA_20250410_234202.wav	BO-Tapyta
52	1	1	44	48	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250414_215802.wav	BO-Tapyta
53	1	1	46	50	0.0	8000.0	cluster_9	BO-82Tapyta/BO-82TAPYTA_20250501_010302.wav	BO-Tapyta
54	1	1	16	20	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250416_224402.wav	BO-Tapyta
55	1	1	18	22	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250411_185402.wav	BO-Tapyta
56	1	1	34	38	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250416_043202.wav	BO-Tapyta
57	1	1	32	36	0.0	8000.0	cluster_9	BO-82Tapyta/BO-82TAPYTA_20250501_051302.wav	BO-Tapyta
58	1	1	10	14	0.0	8000.0	cluster_7	BO-81Tapyta/BO-81TAPYTA_20250411_190002.wav	BO-Tapyta
59	1	1	52	56	0.0	8000.0	cluster_6	BO-81Tapyta/BO-81TAPYTA_20250409_222502.wav	BO-Tapyta
60	1	1	20	24	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250414_220402.wav	BO-Tapyta
61	1	1	8	12	0.0	8000.0	cluster_6	BO-81Tapyta/BO-81TAPYTA_20250414_050402.wav	BO-Tapyta
62	1	1	16	20	0.0	8000.0	cluster_1	BO-82Tapyta/BO-82TAPYTA_20250429_182202.wav	BO-Tapyta
63	1	1	26	30	0.0	8000.0	cluster_0	BO-81Tapyta/BO-81TAPYTA_20250411_232102.wav	BO-Tapyta
64	1	1	30	34	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_051202.wav	BO-Tapyta
65	1	1	26	30	0.0	8000.0	cluster_6	BO-82Tapyta/BO-82TAPYTA_20250413_224902.wav	BO-Tapyta
66	1	1	14	18	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250417_210502.wav	BO-Tapyta
67	1	1	24	28	0.0	8000.0	cluster_3	BO-82Tapyta/BO-82TAPYTA_20250419_031502.wav	BO-Tapyta
68	1	1	22	26	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250413_200202.wav	BO-Tapyta
69	1	1	12	16	0.0	8000.0	cluster_6	BO-81Tapyta/BO-81TAPYTA_20250415_000502.wav	BO-Tapyta
70	1	1	48	52	0.0	8000.0	cluster_6	BO-82Tapyta/BO-82TAPYTA_20250430_225602.wav	BO-Tapyta
71	1	1	40	44	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250415_235502.wav	BO-Tapyta
72	1	1	28	32	0.0	8000.0	cluster_3	BO-82Tapyta/BO-82TAPYTA_20250412_213902.wav	BO-Tapyta
73	1	1	38	42	0.0	8000.0	cluster_6	BO-82Tapyta/BO-82TAPYTA_20250501_235902.wav	BO-Tapyta
