Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1	1	1	34	38	0.0	8000.0	cluster_18 | CANTERA1Tapy/CANTERA1TAPY_20250603_180802.wav	CANTERA1Tapy/CANTERA1TAPY_20250603_180802.wav	CANTERA1Tapy
2	1	1	36	40	0.0	8000.0	cluster_18 | CANTERA1Tapy/CANTERA1TAPY_20250603_180802.wav	CANTERA1Tapy/CANTERA1TAPY_20250603_180802.wav	CANTERA1Tapy
3	1	1	46	50	0.0	8000.0	cluster_18 | CANTERA1Tapy/CANTERA1TAPY_20250603_180802.wav	CANTERA1Tapy/CANTERA1TAPY_20250603_180802.wav	CANTERA1Tapy
4	1	1	38	42	0.0	8000.0	cluster_18 | CANTERA1Tapy/CANTERA1TAPY_20250603_181002.wav	CANTERA1Tapy/CANTERA1TAPY_20250603_181002.wav	CANTERA1Tapy
5	1	1	40	44	0.0	8000.0	cluster_18 | CANTERA1Tapy/CANTERA1TAPY_20250603_181002.wav	CANTERA1Tapy/CANTERA1TAPY_20250603_181002.wav	CANTERA1Tapy
6	1	1	10	14	0.0	8000.0	cluster_18 | CANTERA1Tapy/CANTERA1TAPY_20250606_184502.wav	CANTERA1Tapy/CANTERA1TAPY_20250606_184502.wav	CANTERA1Tapy
7	1	1	12	16	0.0	8000.0	cluster_18 | CANTERA1Tapy/CANTERA1TAPY_20250606_184502.wav	CANTERA1Tapy/CANTERA1TAPY_20250606_184502.wav	CANTERA1Tapy
8	1	1	28	32	0.0	8000.0	cluster_18 | CANTERA1Tapy/CANTERA1TAPY_20250606_184702.wav	CANTERA1Tapy/CANTERA1TAPY_20250606_184702.wav	CANTERA1Tapy
9	1	1	30	34	0.0	8000.0	cluster_18 | CANTERA1Tapy/CANTERA1TAPY_20250606_184702.wav	CANTERA1Tapy/CANTERA1TAPY_20250606_184702.wav	CANTERA1Tapy
10	1	1	48	52	0.0	8000.0	cluster_18 | CANTERA1Tapy/CANTERA1TAPY_20250606_185302.wav	CANTERA1Tapy/CANTERA1TAPY_20250606_185302.wav	CANTERA1Tapy
