Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1	1	1	38	42	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250417_185702.wav	BO-82Tapyta/BO-82TAPYTA_20250417_185702.wav	BO-Tapyta
2	1	1	28	32	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250415_190602.wav	BO-82Tapyta/BO-82TAPYTA_20250415_190602.wav	BO-Tapyta
3	1	1	16	20	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250429_182202.wav	BO-82Tapyta/BO-82TAPYTA_20250429_182202.wav	BO-Tapyta
4	1	1	8	12	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250410_185302.wav	BO-82Tapyta/BO-82TAPYTA_20250410_185302.wav	BO-Tapyta
5	1	1	0	4	0.0	8000.0	cluster_1 | BO-81Tapyta/BO-81TAPYTA_20250413_180902.wav	BO-81Tapyta/BO-81TAPYTA_20250413_180902.wav	BO-Tapyta
6	1	1	38	42	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250416_182902.wav	BO-82Tapyta/BO-82TAPYTA_20250416_182902.wav	BO-Tapyta
7	1	1	30	34	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250414_184702.wav	BO-82Tapyta/BO-82TAPYTA_20250414_184702.wav	BO-Tapyta
8	1	1	32	36	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250413_184402.wav	BO-82Tapyta/BO-82TAPYTA_20250413_184402.wav	BO-Tapyta
9	1	1	48	52	0.0	8000.0	cluster_1 | BO-81Tapyta/BO-81TAPYTA_20250414_183502.wav	BO-81Tapyta/BO-81TAPYTA_20250414_183502.wav	BO-Tapyta
10	1	1	6	10	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250414_181302.wav	BO-82Tapyta/BO-82TAPYTA_20250414_181302.wav	BO-Tapyta
11	1	1	46	50	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250425_181802.wav	BO-82Tapyta/BO-82TAPYTA_20250425_181802.wav	BO-Tapyta
12	1	1	24	28	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250414_185602.wav	BO-82Tapyta/BO-82TAPYTA_20250414_185602.wav	BO-Tapyta
13	1	1	40	44	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250424_185202.wav	BO-82Tapyta/BO-82TAPYTA_20250424_185202.wav	BO-Tapyta
14	1	1	30	34	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250417_184902.wav	BO-82Tapyta/BO-82TAPYTA_20250417_184902.wav	BO-Tapyta
15	1	1	40	44	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250502_183902.wav	BO-82Tapyta/BO-82TAPYTA_20250502_183902.wav	BO-Tapyta
16	1	1	40	44	0.0	8000.0	cluster_1 | BO-81Tapyta/BO-81TAPYTA_20250413_192302.wav	BO-81Tapyta/BO-81TAPYTA_20250413_192302.wav	BO-Tapyta
17	1	1	50	54	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250419_185602.wav	BO-82Tapyta/BO-82TAPYTA_20250419_185602.wav	BO-Tapyta
18	1	1	22	26	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250419_185602.wav	BO-82Tapyta/BO-82TAPYTA_20250419_185602.wav	BO-Tapyta
19	1	1	48	52	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250413_185802.wav	BO-82Tapyta/BO-82TAPYTA_20250413_185802.wav	BO-Tapyta
20	1	1	30	34	0.0	8000.0	cluster_1 | BO-82Tapyta/BO-82TAPYTA_20250410_190502.wav	BO-82Tapyta/BO-82TAPYTA_20250410_190502.wav	BO-Tapyta
