Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1	1	1	8	12	0.0	8000.0	cluster_9 | CANTERA1Tapy/CANTERA1TAPY_20250604_042902.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_042902.wav	CANTERA1Tapy
2	1	1	10	14	0.0	8000.0	cluster_9 | CANTERA1Tapy/CANTERA1TAPY_20250604_042902.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_042902.wav	CANTERA1Tapy
3	1	1	2	6	0.0	8000.0	cluster_9 | CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy
4	1	1	4	8	0.0	8000.0	cluster_9 | CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy
5	1	1	6	10	0.0	8000.0	cluster_9 | CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy
6	1	1	8	12	0.0	8000.0	cluster_9 | CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy
7	1	1	10	14	0.0	8000.0	cluster_9 | CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy
8	1	1	2	6	0.0	8000.0	cluster_9 | CANTERA1Tapy/CANTERA1TAPY_20250604_053502.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_053502.wav	CANTERA1Tapy
9	1	1	0	4	0.0	8000.0	cluster_9 | CANTERA1Tapy/CANTERA1TAPY_20250604_053902.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_053902.wav	CANTERA1Tapy
10	1	1	2	6	0.0	8000.0	cluster_9 | CANTERA1Tapy/CANTERA1TAPY_20250604_053902.wav	CANTERA1Tapy/CANTERA1TAPY_20250604_053902.wav	CANTERA1Tapy
