Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1	1	1	0	4	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250410_213002.wav	BO-82Tapyta/BO-82TAPYTA_20250410_213002.wav	BO-Tapyta
2	1	1	2	6	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250414_055402.wav	BO-82Tapyta/BO-82TAPYTA_20250414_055402.wav	BO-Tapyta
3	1	1	46	50	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250414_025802.wav	BO-82Tapyta/BO-82TAPYTA_20250414_025802.wav	BO-Tapyta
4	1	1	50	54	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250420_032802.wav	BO-82Tapyta/BO-82TAPYTA_20250420_032802.wav	BO-Tapyta
5	1	1	12	16	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250414_014202.wav	BO-82Tapyta/BO-82TAPYTA_20250414_014202.wav	BO-Tapyta
6	1	1	10	14	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250503_000002.wav	BO-82Tapyta/BO-82TAPYTA_20250503_000002.wav	BO-Tapyta
7	1	1	10	14	0.0	8000.0	cluster_6 | BO-81Tapyta/BO-81TAPYTA_20250411_003602.wav	BO-81Tapyta/BO-81TAPYTA_20250411_003602.wav	BO-Tapyta
8	1	1	22	26	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250502_044902.wav	BO-82Tapyta/BO-82TAPYTA_20250502_044902.wav	BO-Tapyta
9	1	1	2	6	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250430_191602.wav	BO-82Tapyta/BO-82TAPYTA_20250430_191602.wav	BO-Tapyta
10	1	1	8	12	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250502_042302.wav	BO-82Tapyta/BO-82TAPYTA_20250502_042302.wav	BO-Tapyta
11	1	1	12	16	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250414_021402.wav	BO-82Tapyta/BO-82TAPYTA_20250414_021402.wav	BO-Tapyta
12	1	1	18	22	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250410_234202.wav	BO-82Tapyta/BO-82TAPYTA_20250410_234202.wav	BO-Tapyta
13	1	1	52	56	0.0	8000.0	cluster_6 | BO-81Tapyta/BO-81TAPYTA_20250409_222502.wav	BO-81Tapyta/BO-81TAPYTA_20250409_222502.wav	BO-Tapyta
14	1	1	8	12	0.0	8000.0	cluster_6 | BO-81Tapyta/BO-81TAPYTA_20250414_050402.wav	BO-81Tapyta/BO-81TAPYTA_20250414_050402.wav	BO-Tapyta
15	1	1	26	30	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250413_224902.wav	BO-82Tapyta/BO-82TAPYTA_20250413_224902.wav	BO-Tapyta
16	1	1	12	16	0.0	8000.0	cluster_6 | BO-81Tapyta/BO-81TAPYTA_20250415_000502.wav	BO-81Tapyta/BO-81TAPYTA_20250415_000502.wav	BO-Tapyta
17	1	1	48	52	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250430_225602.wav	BO-82Tapyta/BO-82TAPYTA_20250430_225602.wav	BO-Tapyta
18	1	1	38	42	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250501_235902.wav	BO-82Tapyta/BO-82TAPYTA_20250501_235902.wav	BO-Tapyta
19	1	1	4	8	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250410_203202.wav	BO-82Tapyta/BO-82TAPYTA_20250410_203202.wav	BO-Tapyta
20	1	1	12	16	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250414_235702.wav	BO-82Tapyta/BO-82TAPYTA_20250414_235702.wav	BO-Tapyta
21	1	1	8	12	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250420_044602.wav	BO-82Tapyta/BO-82TAPYTA_20250420_044602.wav	BO-Tapyta
22	1	1	48	52	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250416_050902.wav	BO-82Tapyta/BO-82TAPYTA_20250416_050902.wav	BO-Tapyta
23	1	1	16	20	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250503_011002.wav	BO-82Tapyta/BO-82TAPYTA_20250503_011002.wav	BO-Tapyta
24	1	1	16	20	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250502_045802.wav	BO-82Tapyta/BO-82TAPYTA_20250502_045802.wav	BO-Tapyta
25	1	1	16	20	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250428_005902.wav	BO-82Tapyta/BO-82TAPYTA_20250428_005902.wav	BO-Tapyta
26	1	1	0	4	0.0	8000.0	cluster_6 | BO-81Tapyta/BO-81TAPYTA_20250413_231402.wav	BO-81Tapyta/BO-81TAPYTA_20250413_231402.wav	BO-Tapyta
27	1	1	44	48	0.0	8000.0	cluster_6 | BO-82Tapyta/BO-82TAPYTA_20250502_022702.wav	BO-82Tapyta/BO-82TAPYTA_20250502_022702.wav	BO-Tapyta
