Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio	cluster_original
1	1	1	52	56	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250607_183302.wav	CANTERA1Tapy	cluster_12
2	1	1	8	12	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250607_183402.wav	CANTERA1Tapy	cluster_12
3	1	1	36	40	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250607_183802.wav	CANTERA1Tapy	cluster_12
4	1	1	48	52	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250607_200402.wav	CANTERA1Tapy	cluster_12
5	1	1	32	36	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250607_200502.wav	CANTERA1Tapy	cluster_12
6	1	1	24	28	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250607_204302.wav	CANTERA1Tapy	cluster_12
7	1	1	28	32	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250607_204302.wav	CANTERA1Tapy	cluster_12
8	1	1	42	46	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250607_204302.wav	CANTERA1Tapy	cluster_12
9	1	1	8	12	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250608_014102.wav	CANTERA1Tapy	cluster_12
10	1	1	10	14	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250608_014102.wav	CANTERA1Tapy	cluster_12
11	1	1	6	10	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250618_182702.wav	CANTERA1Tapy	cluster_12
12	1	1	8	12	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250618_182702.wav	CANTERA1Tapy	cluster_12
13	1	1	6	10	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250618_182902.wav	CANTERA1Tapy	cluster_12
14	1	1	8	12	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250618_182902.wav	CANTERA1Tapy	cluster_12
15	1	1	34	38	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250618_193902.wav	CANTERA1Tapy	cluster_12
16	1	1	42	46	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250618_194002.wav	CANTERA1Tapy	cluster_12
17	1	1	38	42	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250618_194202.wav	CANTERA1Tapy	cluster_12
18	1	1	40	44	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250618_194202.wav	CANTERA1Tapy	cluster_12
19	1	1	42	46	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250618_194202.wav	CANTERA1Tapy	cluster_12
20	1	1	44	48	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250618_194202.wav	CANTERA1Tapy	cluster_12
21	1	1	16	20	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250618_194302.wav	CANTERA1Tapy	cluster_12
22	1	1	24	28	0.0	8000.0	Dendropsophus cf. minutus | cluster_12	CANTERA1Tapy/CANTERA1TAPY_20250618_194302.wav	CANTERA1Tapy	cluster_12
