Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1	1	1	50	54	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250418_040302.wav	BO-82Tapyta/BO-82TAPYTA_20250418_040302.wav	BO-Tapyta
2	1	1	16	20	0.0	8000.0	cluster_2 | BO-81Tapyta/BO-81TAPYTA_20250416_011502.wav	BO-81Tapyta/BO-81TAPYTA_20250416_011502.wav	BO-Tapyta
3	1	1	26	30	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250427_215702.wav	BO-82Tapyta/BO-82TAPYTA_20250427_215702.wav	BO-Tapyta
4	1	1	22	26	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250502_204002.wav	BO-82Tapyta/BO-82TAPYTA_20250502_204002.wav	BO-Tapyta
5	1	1	16	20	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250416_012402.wav	BO-82Tapyta/BO-82TAPYTA_20250416_012402.wav	BO-Tapyta
6	1	1	22	26	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250412_052302.wav	BO-82Tapyta/BO-82TAPYTA_20250412_052302.wav	BO-Tapyta
7	1	1	2	6	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250411_200402.wav	BO-82Tapyta/BO-82TAPYTA_20250411_200402.wav	BO-Tapyta
8	1	1	26	30	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250425_005202.wav	BO-82Tapyta/BO-82TAPYTA_20250425_005202.wav	BO-Tapyta
9	1	1	0	4	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250418_050602.wav	BO-82Tapyta/BO-82TAPYTA_20250418_050602.wav	BO-Tapyta
10	1	1	52	56	0.0	8000.0	cluster_2 | BO-81Tapyta/BO-81TAPYTA_20250414_202302.wav	BO-81Tapyta/BO-81TAPYTA_20250414_202302.wav	BO-Tapyta
11	1	1	8	12	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250427_050902.wav	BO-82Tapyta/BO-82TAPYTA_20250427_050902.wav	BO-Tapyta
12	1	1	4	8	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250424_213202.wav	BO-82Tapyta/BO-82TAPYTA_20250424_213202.wav	BO-Tapyta
13	1	1	20	24	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250415_194202.wav	BO-82Tapyta/BO-82TAPYTA_20250415_194202.wav	BO-Tapyta
14	1	1	36	40	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250426_040802.wav	BO-82Tapyta/BO-82TAPYTA_20250426_040802.wav	BO-Tapyta
15	1	1	34	38	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250412_034902.wav	BO-82Tapyta/BO-82TAPYTA_20250412_034902.wav	BO-Tapyta
16	1	1	44	48	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250414_215802.wav	BO-82Tapyta/BO-82TAPYTA_20250414_215802.wav	BO-Tapyta
17	1	1	16	20	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250416_224402.wav	BO-82Tapyta/BO-82TAPYTA_20250416_224402.wav	BO-Tapyta
18	1	1	18	22	0.0	8000.0	cluster_2 | BO-82Tapyta/BO-82TAPYTA_20250411_185402.wav	BO-82Tapyta/BO-82TAPYTA_20250411_185402.wav	BO-Tapyta
19	1	1	34	38	0.0	8000.0	cluster_2 | BO-81Tapyta/BO-81TAPYTA_20250416_043202.wav	BO-81Tapyta/BO-81TAPYTA_20250416_043202.wav	BO-Tapyta
